eval_id,x,hub,f1,f2,f3,g1,g2,feasible
0,"[0.17893481367543618, 0.4672684011434851, 0.9051438366771739, 0.652784802685132, 0.9669622001623905, 0.6399131657151546, 0.37050052710804804, 0.17735319182304865, 0.29830276735556926, 0.9198501605372782]","[0.7049563686092548, 1.0134588342744346]",-29.322736740112305,0.374,2994.833108214056,-79.77996047064914,0.0,1
1,"[0.5771775044961992, 0.5193842211443356, 0.49995502241119394, 0.9047040725533528, 0.05873521751558297, 0.4162706429924663, 0.32654466381127, 0.09344593349461805, 0.9897361675845034, 0.3582312185913814]","[0.16519817849612406, 1.3738856617154276]",-44.68206787109375,1.0,3826.810232413969,74.12217734375517,0.0,0
2,"[0.6220697409528387, 0.43974028393442544, 0.6442476693303388, 0.5149392859956807, 0.8756598515631787, 0.739900702350839, 0.7854340014599015, 0.2005303566832357, 0.01645945948648464, 0.5424458861963711]","[0.06928054281514673, 1.4066383891242173]",-26.09162139892578,0.026,3117.3411271016416,-61.211881965937664,0.0,1
3,"[0.43132345380885195, 0.33099943817048805, 0.7559488323569789, 0.11610473609591099, 0.8880321199869642, 0.5914192820348003, 0.4112686884886242, 0.17072977658825428, 0.6974639333086391, 0.8796672522975737]","[0.7831381598861666, 1.161703159463219]",-45.647621154785156,0.7,3113.400457425079,-91.66607698869865,0.0,1
4,"[0.4171774343880905, 0.9108220921659664, 0.7464710369587361, 0.5101225863270002, 0.7424842116732404, 0.3532556606165881, 0.43070700374480275, 0.4970226157004175, 0.7076778979003703, 0.3356970836114517]","[0.2745231222481424, 1.2628433756278878]",-27.55997657775879,0.034,2640.0913468637877,-16.95528978813769,0.0,1
5,"[0.5118814273652947, 0.8573010008865969, 0.3995968392250302, 0.841486558403682, 0.38328936307170336, 0.8851177060251493, 0.19316997569865946, 0.5257783000795696, 0.8267136201588152, 0.7065846822128775]","[0.7768996649034982, 1.1214802796391583]",-35.65608215332031,0.052,2673.0646242012663,-50.56414592745085,0.0,1
6,"[0.3151851034187104, 0.8929563307131257, 0.3987189364419349, 0.7115105508132997, 0.8270938070133592, 0.47403622225949027, 0.8166440705290728, 0.6823799448443975, 0.40168496892501016, 0.4653517170757224]","[0.9578187796514454, 1.022905556360409]",-41.051124572753906,0.1,2221.531749737349,32.07200877485786,0.0,0
7,"[0.28353426632010625, 0.6181307496852578, 0.21800593004626811, 0.054731143300722596, 0.07482644255422188, 0.8310576876132559, 0.6052685945074544, 0.25396254580418, 0.662682068619064, 0.7401312499629299]","[0.12544147718602344, 1.3981236128673569]",-25.698808670043945,1.0,2900.19980293184,118.64511945326655,0.0,0
8,"[0.12499955865727308, 0.7854702016115908, 0.4115541827996497, 0.70006605596892, 0.8122050151262458, 0.14566874185476875, 0.3015314021630472, 0.4100234308800571, 0.47233225860496875, 0.4959391441876757]","[0.6268693741886016, 1.0260262331786394]",-39.40675735473633,0.644,2581.8112181704896,61.00720955656993,0.0,0
9,"[0.0043001907504852666, 0.4038284511492043, 0.8276226232184107, 0.25882907767580354, 0.012996611642042799, 0.3953518057604567, 0.6710113104026503, 0.8848800971002195, 0.8398657742651049, 0.4965961443363097]","[0.19305252710204918, 1.293728501037669]",-28.295804977416992,1.0,2799.486395175976,82.63978797527867,0.0,0
10,"[0.4493700221843081, 0.16238519618917013, 0.7747330486829124, 0.9269667072846148, 0.531556426498312, 0.5928292560660468, 0.14533662442438278, 0.38245569953067815, 0.06655933206506481, 0.7572363648024241]","[0.7886019493535044, 1.0226511506319818]",-46.30073547363281,0.446,3038.325827274841,-54.33871401898148,0.0,1
11,"[0.5329964905168298, 0.9523085496828213, 0.7768585578074371, 0.365580543517224, 0.7741195095586619, 0.30174696680193824, 0.2788153200698916, 0.5718454658466616, 0.37478364972859823, 0.5888790694642251]","[0.9591271980466012, 1.0618171394810878]",-41.67155075073242,0.063,2355.2782832422663,223.24625219508076,0.0,0
12,"[0.8492845872814717, 0.28834976811030466, 0.8248313523805849, 0.021192485967230446, 0.061240492509463396, 0.5531682306732453, 0.7934942679678835, 0.9798728902634072, 0.5070309916890025, 0.4962855255378299]","[0.6855269659327039, 1.0204341015164433]",-56.664669036865234,1.0,2409.0532388967085,182.89312856107813,0.0,0
13,"[0.8621389210993113, 0.2120786478798098, 0.4285060656921795, 0.7188453664551908, 0.4504319488756726, 0.7800250945620328, 0.22875224889428014, 0.3654175239650753, 0.5478334919510167, 0.6044036215883223]","[0.12861068525179337, 1.4143105780566072]",-35.40606689453125,0.267,3190.9953167139133,-147.97898317821233,0.0,1
14,"[0.13135175626218798, 0.7905530029991071, 0.44095645603041267, 0.591796377331508, 0.3665832090380381, 0.2418497993311799, 0.3891706526204568, 0.20099980305076082, 0.786219021931593, 0.4866878941503999]","[0.8933662082018335, 1.0221212158679571]",-41.197940826416016,0.599,2936.885522944692,-240.01208852514225,0.0,1
15,"[0.07481951342173032, 0.5673117940149709, 0.20708851409187945, 0.4943279727816198, 0.4055637897834451, 0.3440417285659956, 0.4419650139988215, 0.7179064872954681, 0.7330076988314537, 0.35373439562102404]","[0.8451299218410129, 1.1392159409836058]",-36.75161361694336,1.0,2732.5438332035474,-55.07572335404268,0.0,1
16,"[0.8827535612958681, 0.5618889960245675, 0.9244529781497786, 0.05478953396800346, 0.8929034742149677, 0.461904012674792, 0.07761667129692928, 0.894418494807833, 0.3514911145265569, 0.5866398392914269]","[0.2847061000604977, 1.2252772348542273]",-45.910213470458984,1.0,3719.5282054464224,43.421917534309074,0.0,0
17,"[0.3557449173694821, 0.20086019503623131, 0.5488425883330939, 0.05910691087058184, 0.3378527236027137, 0.10659926752742499, 0.14630354452115713, 0.0560272129170265, 0.601449317003417, 0.29677840171116987]","[0.806594971163718, 1.149780223272999]",-12.514946937561035,1.0,3150.8152884595706,-14.485331638552168,0.0,1
18,"[0.7623876705634723, 0.35962974597936526, 0.5951958360281309, 0.8792311853358806, 0.49501061038966987, 0.6410984793573328, 0.1362369449940265, 0.20413929496933914, 0.8791822930263492, 0.6899085447642473]","[0.7550916380826702, 1.0398253529232335]",-31.620237350463867,0.066,2421.70119418719,-156.59144861342082,0.0,1
19,"[0.6842154101324546, 0.9219876455127275, 0.6626537420388173, 0.859281218778339, 0.5611165503191516, 0.05543079717655708, 0.20512157225427397, 0.4913496130204209, 0.949564299086237, 0.7929934602330717]","[0.8776280853035865, 1.0327153158033906]",-17.582313537597656,0.009,2345.654029975278,-216.27516011692848,0.0,1
